id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,item group id,sell on google quantity
DJNjCqquhcS8YMhhFUUT-3,Profil INVISIA X202,Patentowany profil INVISIA x202® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x202,,https://drive.google.com/uc?id=1nnFODITgP8hTw1IMFHnquQXMcTIfv7uO,10.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1DNCe7DfN0gJl0KQkX5cWjg-gVYEm9S4D, https://drive.google.com/uc?id=1tPL2tQ2n8vcXLP3c5RpC6tsEGHpdqEMu, https://drive.google.com/uc?id=1QDS4cC_ttZBBn6gFj6CfhoySHqiAQRlI",new,,czarny mat,aluminowy,,,,,,,,,,,,,invisia_x202,100
zA59TVMAiMOOTZf15BUvl2,Profil INVISIA X204,Patentowany profil INVISIA x204® separacyjny ze szczeliną cieniową do sufitów napinanych z harpunowym systemem mocowania płótna. Stosowany jest do pochyłych sufitów napinanych na poddaszach lub do dzielenia powierzchni płótna na kilka segmentów bez użycia wkładki rozdzielającej.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x204,,https://drive.google.com/uc?id=1375WO1UdG_ehzyGcjxCB0n292HFMWLRA,16.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1b9OqKZyKscLsLFeGuatj9D7MAR241BRa, https://drive.google.com/uc?id=1XdkJ9sIP6bK3y1fi0SZAZpBDe7Oxl__T, https://drive.google.com/uc?id=17gYm7IBn5ZpKHRPUWVwO4ORpYY9fmWwD",new,,czarny mat,aluminowy,,,,,,,,,,,,,invisia_x204,100
EGXmtijjgeQdvXQSqdLGi3,Profil INVISIA X206,Patentowany profil INVISIA x206® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x206,,https://drive.google.com/uc?id=1lDP595S0X_3KXxoZ7QTlNO81bPUCAS7U,16.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=18mLn1YP3tLwK0ZIw1oAcIbN_5QhS3FII, https://drive.google.com/uc?id=1AeYB_QWBN5kMu2OlHDsuClmHAQ0GGvet, https://drive.google.com/uc?id=16ero6PPZf_A3423gb5Au5VU9msWFrX46",new,,czarny mat,aluminowy,,,,,,,,,,,,,invisia_x206,100
YZTju3ikgOF1-Sj6ktK6e2,Profil INVISIA X207,Patentowany profil INVISIA x207® sufitowy dystansowy do wentylacji w sufitach napinanych z harpunowym systemem mocowania płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x207,,https://drive.google.com/uc?id=1PvSGgp_U9emq8naSZ1Xjf8zemIwbI9mS,24.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1H0BvwoiRN-NKeg-CLyt6n7HGi2lQhh91, https://drive.google.com/uc?id=12TjByIkJwsf5RBMGztMhLgNSn104f6y3, https://drive.google.com/uc?id=1y3IQg_wbMKIFxtGSmMH1KDnvSACPGon3",new,,czarny mat,aluminowy,,,,,,,,,,,,,invisia_x207,100
eyVbkQihgGQtYR5EF0P4w0,Profil INVISIA X208,Patentowany profil INVISIA x208® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia skomplikowanych ścian.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x208,,https://drive.google.com/uc?id=1_fM6UZo5xckNGR9PO0fvRWTFIQ-gGmR4,12.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1o8vtunjW4J5euLGuvoPNYpFntLporBLP, https://drive.google.com/uc?id=1bEkMg7AIqbRQNWuxPDAex_hO_Tlu6foW, https://drive.google.com/uc?id=1TdO2RkbGPxZAhIf72Nf7rKs9w1mCIByr",new,,czarny mat,aluminowy,,,,,,,,,,,,,invisia_x208,100
EeRJkcybhq5xX9vhB-xzv3,Profil INVISIA X209,Patentowany profil INVISIA x209® dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia schodów i świetlików.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x209,,https://drive.google.com/uc?id=1qfGCpe6l_jupuhrOccmxB6oiJ7JHz1Jh,24.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1oiNbnMd11K2TKxbN1RZDZ_RD-s1VxEGm, https://drive.google.com/uc?id=19-exLUXnyt91DaEEj-yzx0Cnn2STsmJl, https://drive.google.com/uc?id=11op0f9O7ohv6FZeAaGF7ps3DWcMXQLhz",new,,czarny mat,aluminowy,,,,,,,,,,,,,invisia_x209,100
cTT1GGAZj76alVXu4vaAe1,Profil INVISIA X209,Patentowany profil INVISIA x209® dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Do obejścia schodów i świetlików.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe/invisia-x209,,https://drive.google.com/uc?id=1qfGCpe6l_jupuhrOccmxB6oiJ7JHz1Jh,24.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1oiNbnMd11K2TKxbN1RZDZ_RD-s1VxEGm, https://drive.google.com/uc?id=19-exLUXnyt91DaEEj-yzx0Cnn2STsmJl, https://drive.google.com/uc?id=11op0f9O7ohv6FZeAaGF7ps3DWcMXQLhz",new,,biały mat,aluminowy,,,,,,,,,,,,,invisia_x209,100
jzysdA0nhEDukcRfamitz0,Profil FLOATIA X301,Patentowany profil FLOATIA x301® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led. Bez osłony i klosza.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x301,,https://drive.google.com/uc?id=1_k1IvvzMXX0neKBhdGJVFh1paRDhzl9E,12.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1f0lXWOdXT9brQqcL-WLmLCC124xiilU2, https://drive.google.com/uc?id=15G1KsEVNW-6ZK75iSn41JZJEB-hkW8so, https://drive.google.com/uc?id=1wnQEHQCl68OS9y3wrId9XnkDW1J5UaL0",new,,biały mat,aluminowy,,,,,,,,,,,,,floatia_x301,100
IxT7oD8zhIbrnn2LbGw2D0,Profil FLOATIA X302,Patentowany profil FLOATIA x302® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x302,,https://drive.google.com/uc?id=18F6m8x9gtxJrBlDEiaj3icTPngQQ4QKl,12.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=113mq-nr-dqVWWUTywjdZS6C2YgO8IobZ, https://drive.google.com/uc?id=1ZG7iLJnATHZF_kKx41iyEQn2w796r-ny, https://drive.google.com/uc?id=1eRjiHdpiXyT6vpdvZcEuAkMsaKiNYqus",new,,surowy,aluminowy,,,,,,,,,,,,,floatia_x302,100
fxcs1s4Sg4i9usohMYyp11,Profil FLOATIA X302,Patentowany profil FLOATIA x302® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x302,,https://drive.google.com/uc?id=18F6m8x9gtxJrBlDEiaj3icTPngQQ4QKl,14.80 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=113mq-nr-dqVWWUTywjdZS6C2YgO8IobZ, https://drive.google.com/uc?id=1ZG7iLJnATHZF_kKx41iyEQn2w796r-ny, https://drive.google.com/uc?id=1eRjiHdpiXyT6vpdvZcEuAkMsaKiNYqus",new,,czarny mat,aluminowy,,,,,,,,,,,,,floatia_x302,100
Y7mho3jShobDY2hUqkXX83,Profil FLOATIA X302,Patentowany profil FLOATIA x302® ścienny dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x302,,https://drive.google.com/uc?id=18F6m8x9gtxJrBlDEiaj3icTPngQQ4QKl,14.80 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=113mq-nr-dqVWWUTywjdZS6C2YgO8IobZ, https://drive.google.com/uc?id=1ZG7iLJnATHZF_kKx41iyEQn2w796r-ny, https://drive.google.com/uc?id=1eRjiHdpiXyT6vpdvZcEuAkMsaKiNYqus",new,,biały mat,aluminowy,,,,,,,,,,,,,floatia_x302,100
VL9D-5xNhHiRwdOhXxgjl3,Profil FLOATIA X303,Patentowany profil FLOATIA x303® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x303,,https://drive.google.com/uc?id=1RPba_Rt0CI9VnHixYbVZlINfmiDrQxnX,15.60 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1IS1XUEu_gYZRP52nVAepof4sGID-VTCb, https://drive.google.com/uc?id=1T0qBjtoV0pvbQjzgYm5X5xNBz6NX1f6b, https://drive.google.com/uc?id=1dnKkAnTLxceytOUp6Q6we0HcL0K6fMwM",new,,surowy,aluminowy,,,,,,,,,,,,,floatia_x303,100
MyI2v2JMhnRtUrh6H58nz0,Profil FLOATIA X303,Patentowany profil FLOATIA x303® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x303,,https://drive.google.com/uc?id=1RPba_Rt0CI9VnHixYbVZlINfmiDrQxnX,20.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1IS1XUEu_gYZRP52nVAepof4sGID-VTCb, https://drive.google.com/uc?id=1T0qBjtoV0pvbQjzgYm5X5xNBz6NX1f6b, https://drive.google.com/uc?id=1dnKkAnTLxceytOUp6Q6we0HcL0K6fMwM",new,,czarny mat,aluminowy,,,,,,,,,,,,,floatia_x303,100
xO7PAABriJTHSKVNGiuYl3,Profil FLOATIA X303,Patentowany profil FLOATIA x303® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x303,,https://drive.google.com/uc?id=1RPba_Rt0CI9VnHixYbVZlINfmiDrQxnX,20.00 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1IS1XUEu_gYZRP52nVAepof4sGID-VTCb, https://drive.google.com/uc?id=1T0qBjtoV0pvbQjzgYm5X5xNBz6NX1f6b, https://drive.google.com/uc?id=1dnKkAnTLxceytOUp6Q6we0HcL0K6fMwM",new,,biały mat,aluminowy,,,,,,,,,,,,,floatia_x303,100
OGuLhFuVjSlwHsBusU5Sf1,Profil FLOATIA X304,Patentowany profil FLOATIA x304® sufitowy dystansowy do sufitów napinanych z harpunowym systemem mocowania płótna. Z półką na taśmę led i osłoną.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/dystansowe-led/floatia-x304,,https://drive.google.com/uc?id=1V9oI3oESxE0N2Pb7DQDc33Znj7OpjLea,30.00 PLN,,,no,,,alumineu,,google_product_category: 7112,,new,,czarny mat,aluminowy,,,,,,,,,,,,,floatia_x304,100
eePmEHIghXucCCjWcE2zy3,Profil CURTINA X402,Patentowany profil CURTINA x402® do wykonania ukrytych wnęk karniszowych z dwoma rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x402,,https://drive.google.com/uc?id=1S1fRqPlb2RyRt7AKEzWppL25sNkbn1AP,153.60 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,,czarny mat,długość 3200 mm,,,,,,,,,,,,,curtina_x402,100
vdjAWIcdhHNfZhVE150J92,Profil CURTINA X402,Patentowany profil CURTINA x402® do wykonania ukrytych wnęk karniszowych z dwoma rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x402,,https://drive.google.com/uc?id=1S1fRqPlb2RyRt7AKEzWppL25sNkbn1AP,153.60 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,,biały połysk,długość 3200 mm,,,,,,,,,,,,,curtina_x402,100
DKTDmwA2icCZL2vSUjXum3,Profil CURTINA X402,Patentowany profil CURTINA x402® do wykonania ukrytych wnęk karniszowych z dwoma rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x402,,https://drive.google.com/uc?id=1S1fRqPlb2RyRt7AKEzWppL25sNkbn1AP,105.60 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,,czarny mat,długość 2200 mm,,,,,,,,,,,,,curtina_x402,100
e9yQf8rDjzi3XjGnnx3Iw3,Profil CURTINA X402,Patentowany profil CURTINA x402® do wykonania ukrytych wnęk karniszowych z dwoma rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x402,,https://drive.google.com/uc?id=1S1fRqPlb2RyRt7AKEzWppL25sNkbn1AP,105.60 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,,biały połysk,długość 2200 mm,,,,,,,,,,,,,curtina_x402,100
jx2sQ0lhiTZsQVWNF9X2z0,Profil CURTINA X403,Patentowany profil CURTINA x403® do wykonania ukrytych wnęk karniszowych z trzema rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403,,https://drive.google.com/uc?id=1asAao30eZwFjfoUzY7SH5V4UineOk_H_,179.20 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,,czarny mat,długość 3200 mm,,,,,,,,,,,,,curtina_x403,100
34WwfpBUjupvpuPa3EpLr3,Profil CURTINA X403,Patentowany profil CURTINA x403® do wykonania ukrytych wnęk karniszowych z trzema rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403,,https://drive.google.com/uc?id=1asAao30eZwFjfoUzY7SH5V4UineOk_H_,179.20 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,,biały połysk,długość 3200 mm,,,,,,,,,,,,,curtina_x403,100
i3hGepcZiU3L8JqEJ2rtV0,Profil CURTINA X403,Patentowany profil CURTINA x403® do wykonania ukrytych wnęk karniszowych z trzema rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403,,https://drive.google.com/uc?id=1asAao30eZwFjfoUzY7SH5V4UineOk_H_,179.20 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,,biały mat,długość 3200 mm,,,,,,,,,,,,,curtina_x403,100
Hxf-n56DhLa95Jq8oTmSb3,Profil CURTINA X403,Patentowany profil CURTINA x403® do wykonania ukrytych wnęk karniszowych z trzema rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403,,https://drive.google.com/uc?id=1asAao30eZwFjfoUzY7SH5V4UineOk_H_,123.20 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,,czarny mat,długość 2200 mm,,,,,,,,,,,,,curtina_x403,100
smfA9ADrg9P4AffHsiprN2,Profil CURTINA X403,Patentowany profil CURTINA x403® do wykonania ukrytych wnęk karniszowych z trzema rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Z bocznym mocowaniem płótna.,in_stock,,,https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403,,https://drive.google.com/uc?id=1asAao30eZwFjfoUzY7SH5V4UineOk_H_,123.20 PLN,,,no,,,alumineu,,google_product_category: 7112,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,,biały połysk,długość 2200 mm,,,,,,,,,,,,,curtina_x403,100
