# Optional ,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,olHJtrUhhLVDB5FN2Is6G0,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Optional,# Required | The brand name of the item. Character limit: 100.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Optional | ,# Required | The current condition of the item. | Supported values: new; used,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.
custom_label_1,product_tags[1],item_group_id,id,title,description,rich_text_description,brand,size,color,price,link,additional_image_link,condition,availability,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,google_product_category,fb_product_category
,umbră,invisia_x202,DJNjCqquhcS8YMhhFUUT-3,Profil INVISIA X202,"Profil patentat INVISIA X202® de perete, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon.",,alumineu,Aluminiu,negru mat,12.05 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x202?editionuid=799765399652,"https://drive.google.com/uc?id=1DNCe7DfN0gJl0KQkX5cWjg-gVYEm9S4D, https://drive.google.com/uc?id=1tPL2tQ2n8vcXLP3c5RpC6tsEGHpdqEMu, https://drive.google.com/uc?id=1QDS4cC_ttZBBn6gFj6CfhoySHqiAQRlI",new,in stock,100,,,7112,1457
,umbră,invisia_x204,zA59TVMAiMOOTZf15BUvl2,Profil INVISIA X204,"Profil patentat INVISIA X204® separatoare, cu rost de umbră, pentru tavane napinane cu sistem de prindere a pânzei cu harpon.",,alumineu,Aluminiu,negru mat,19.28 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x204?editionuid=823128693102,"https://drive.google.com/uc?id=1b9OqKZyKscLsLFeGuatj9D7MAR241BRa, https://drive.google.com/uc?id=1XdkJ9sIP6bK3y1fi0SZAZpBDe7Oxl__T, https://drive.google.com/uc?id=17gYm7IBn5ZpKHRPUWVwO4ORpYY9fmWwD",new,in stock,100,,,7112,1457
,umbră,invisia_x206,EGXmtijjgeQdvXQSqdLGi3,Profil INVISIA X206,"Profil patentat INVISIA X206® de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon.",,alumineu,Aluminiu,negru mat,19.28 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x206?editionuid=336484823622,"https://drive.google.com/uc?id=18mLn1YP3tLwK0ZIw1oAcIbN_5QhS3FII, https://drive.google.com/uc?id=1AeYB_QWBN5kMu2OlHDsuClmHAQ0GGvet, https://drive.google.com/uc?id=16ero6PPZf_A3423gb5Au5VU9msWFrX46",new,in stock,100,,,7112,1457
,umbră,invisia_x207,YZTju3ikgOF1-Sj6ktK6e2,Profil INVISIA X207,"Profil patentat INVISIA X207® de tavan, distanțier, pentru ventilație în tavane napinane cu sistem de prindere a pânzei cu harpon.",,alumineu,Aluminiu,negru mat,28.92 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x207?editionuid=479831501182,"https://drive.google.com/uc?id=1H0BvwoiRN-NKeg-CLyt6n7HGi2lQhh91, https://drive.google.com/uc?id=12TjByIkJwsf5RBMGztMhLgNSn104f6y3, https://drive.google.com/uc?id=1y3IQg_wbMKIFxtGSmMH1KDnvSACPGon3",new,in stock,100,,,7112,1457
,umbră,invisia_x208,eyVbkQihgGQtYR5EF0P4w0,Profil INVISIA X208,"Profil patentat INVISIA X208® de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Pentru ocolirea pereților complicați.",,alumineu,Aluminiu,negru mat,14.46 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x208?editionuid=994668282432,"https://drive.google.com/uc?id=1o8vtunjW4J5euLGuvoPNYpFntLporBLP, https://drive.google.com/uc?id=1bEkMg7AIqbRQNWuxPDAex_hO_Tlu6foW, https://drive.google.com/uc?id=1TdO2RkbGPxZAhIf72Nf7rKs9w1mCIByr",new,in stock,100,,,7112,1457
,umbră,invisia_x209,EeRJkcybhq5xX9vhB-xzv3,Profil INVISIA X209,Profil patentat INVISIA X209® distanțier pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Pentru ocolirea scărilor și luminatoarelor.,,alumineu,Aluminiu,negru mat,28.92 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x209?editionuid=425076540332,"https://drive.google.com/uc?id=1oiNbnMd11K2TKxbN1RZDZ_RD-s1VxEGm, https://drive.google.com/uc?id=19-exLUXnyt91DaEEj-yzx0Cnn2STsmJl, https://drive.google.com/uc?id=11op0f9O7ohv6FZeAaGF7ps3DWcMXQLhz",new,in stock,100,,,7112,1457
,umbră,invisia_x209,cTT1GGAZj76alVXu4vaAe1,Profil INVISIA X209,Profil patentat INVISIA X209® distanțier pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Pentru ocolirea scărilor și luminatoarelor.,,alumineu,Aluminiu,alb mat,28.92 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x209?editionuid=462428431762,"https://drive.google.com/uc?id=1oiNbnMd11K2TKxbN1RZDZ_RD-s1VxEGm, https://drive.google.com/uc?id=19-exLUXnyt91DaEEj-yzx0Cnn2STsmJl, https://drive.google.com/uc?id=11op0f9O7ohv6FZeAaGF7ps3DWcMXQLhz",new,in stock,100,,,7112,1457
,umbră LED,floatia_x301,jzysdA0nhEDukcRfamitz0,Profil FLOATIA X301,"Profil patentat FLOATIA X302® de perete, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,alb mat,14.46 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x301?editionuid=747944340262,"https://drive.google.com/uc?id=1f0lXWOdXT9brQqcL-WLmLCC124xiilU2, https://drive.google.com/uc?id=15G1KsEVNW-6ZK75iSn41JZJEB-hkW8so, https://drive.google.com/uc?id=1wnQEHQCl68OS9y3wrId9XnkDW1J5UaL0",new,in stock,100,,,7112,1457
,umbră LED,floatia_x302,IxT7oD8zhIbrnn2LbGw2D0,Profil FLOATIA X302,"Profil patentat FLOATIA X302® de perete, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,nevopsit,14.46 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x302?editionuid=860427790322,"https://drive.google.com/uc?id=113mq-nr-dqVWWUTywjdZS6C2YgO8IobZ, https://drive.google.com/uc?id=1ZG7iLJnATHZF_kKx41iyEQn2w796r-ny, https://drive.google.com/uc?id=1eRjiHdpiXyT6vpdvZcEuAkMsaKiNYqus",new,in stock,100,,,7112,1457
,umbră LED,floatia_x302,fxcs1s4Sg4i9usohMYyp11,Profil FLOATIA X302,"Profil patentat FLOATIA X302® de perete, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,negru mat,17.83 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x302?editionuid=673141786352,"https://drive.google.com/uc?id=113mq-nr-dqVWWUTywjdZS6C2YgO8IobZ, https://drive.google.com/uc?id=1ZG7iLJnATHZF_kKx41iyEQn2w796r-ny, https://drive.google.com/uc?id=1eRjiHdpiXyT6vpdvZcEuAkMsaKiNYqus",new,in stock,100,,,7112,1457
,umbră LED,floatia_x302,Y7mho3jShobDY2hUqkXX83,Profil FLOATIA X302,"Profil patentat FLOATIA X302® de perete, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,alb mat,17.83 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x302?editionuid=267826441912,"https://drive.google.com/uc?id=113mq-nr-dqVWWUTywjdZS6C2YgO8IobZ, https://drive.google.com/uc?id=1ZG7iLJnATHZF_kKx41iyEQn2w796r-ny, https://drive.google.com/uc?id=1eRjiHdpiXyT6vpdvZcEuAkMsaKiNYqus",new,in stock,100,,,7112,1457
,umbră LED,floatia_x303,VL9D-5xNhHiRwdOhXxgjl3,Profil FLOATIA X303,"Profil patentat FLOATIA X303 de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,nevopsit,18.80 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x303,"https://drive.google.com/uc?id=1IS1XUEu_gYZRP52nVAepof4sGID-VTCb, https://drive.google.com/uc?id=1T0qBjtoV0pvbQjzgYm5X5xNBz6NX1f6b, https://drive.google.com/uc?id=1dnKkAnTLxceytOUp6Q6we0HcL0K6fMwM",new,in stock,100,,,7112,1457
,umbră LED,floatia_x303,MyI2v2JMhnRtUrh6H58nz0,Profil FLOATIA X303,"Profil patentat FLOATIA X303 de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,negru mat,24.10 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x303?editionuid=906636968422,"https://drive.google.com/uc?id=1IS1XUEu_gYZRP52nVAepof4sGID-VTCb, https://drive.google.com/uc?id=1T0qBjtoV0pvbQjzgYm5X5xNBz6NX1f6b, https://drive.google.com/uc?id=1dnKkAnTLxceytOUp6Q6we0HcL0K6fMwM",new,in stock,100,,,7112,1457
,umbră LED,floatia_x303,xO7PAABriJTHSKVNGiuYl3,Profil FLOATIA X303,"Profil patentat FLOATIA X303 de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,alb mat,24.10 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x303?editionuid=832357855822,"https://drive.google.com/uc?id=1IS1XUEu_gYZRP52nVAepof4sGID-VTCb, https://drive.google.com/uc?id=1T0qBjtoV0pvbQjzgYm5X5xNBz6NX1f6b, https://drive.google.com/uc?id=1dnKkAnTLxceytOUp6Q6we0HcL0K6fMwM",new,in stock,100,,,7112,1457
,umbră LED,floatia_x304,OGuLhFuVjSlwHsBusU5Sf1,Profil FLOATIA X304,"Profil patentat FLOATIA X304 de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Cu poliță pentru bandă LED și inserție.",,alumineu,Aluminiu,negru mat,36.14 RON,https://alumineu.ro/produse/profile-cu-harpon/umbra-led/floatia-x304?editionuid=346589621152,,new,in stock,100,,,7112,1457
,cornișe,curtina_x402,eePmEHIghXucCCjWcE2zy3,Profil CURTINA X402,"Profil patentat CURTINA X402 pentru realizarea nișelor ascunse de draperii, cu două șanțuri pentru agățarea perdelelor și draperiilor în tavane napinane cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 3200 m,negru mat,185.06 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=973723430772,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,in stock,100,,,7112,1457
,cornișe,curtina_x402,vdjAWIcdhHNfZhVE150J92,Profil CURTINA X402,"Profil patentat CURTINA X402 pentru realizarea nișelor ascunse de draperii, cu două șanțuri pentru agățarea perdelelor și draperiilor în tavane napinane cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 3200 m,alb lucios,185.06 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=458830194052,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,in stock,100,,,7112,1457
,cornișe,curtina_x402,DKTDmwA2icCZL2vSUjXum3,Profil CURTINA X402,"Profil patentat CURTINA X402 pentru realizarea nișelor ascunse de draperii, cu două șanțuri pentru agățarea perdelelor și draperiilor în tavane napinane cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 2200 m,negru mat,127.23 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=956663279972,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,in stock,100,,,7112,1457
,cornișe,curtina_x402,e9yQf8rDjzi3XjGnnx3Iw3,Profil CURTINA X402,"Profil patentat CURTINA X402 pentru realizarea nișelor ascunse de draperii, cu două șanțuri pentru agățarea perdelelor și draperiilor în tavane napinane cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 2200 m,alb lucios,127.23 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x402?editionuid=301964519272,"https://drive.google.com/uc?id=1ynKYdymEqYZBoDEr1pY5bHEDos_89VZ3, https://drive.google.com/uc?id=1aBe3YYINuIjLq_TU_51qXcU1TlQNw2C-, https://drive.google.com/uc?id=1XU3HngUBFnrkdha_329UxQB9nCP6vr-2",new,in stock,100,,,7112,1457
,cornișe,curtina_x403,jx2sQ0lhiTZsQVWNF9X2z0,Profil CURTINA X403,"Profil patentat CURTINA X403 pentru realizarea nișelor ascunse de draperii, cu trei șanțuri pentru agățarea perdelelor și draperiilor în tavane extensibile cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 3200 m,negru mat,215.90 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403?editionuid=848779219262,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,in stock,100,,,7112,1457
,cornișe,curtina_x403,34WwfpBUjupvpuPa3EpLr3,Profil CURTINA X403,"Profil patentat CURTINA X403 pentru realizarea nișelor ascunse de draperii, cu trei șanțuri pentru agățarea perdelelor și draperiilor în tavane extensibile cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 3200 m,alb lucios,215.90 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403?editionuid=822614506962,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,in stock,100,,,7112,1457
,cornișe,curtina_x403,i3hGepcZiU3L8JqEJ2rtV0,Profil CURTINA X403,"Profil patentat CURTINA X403 pentru realizarea nișelor ascunse de draperii, cu trei șanțuri pentru agățarea perdelelor și draperiilor în tavane extensibile cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 3200 m,alb mat,215.90 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403?editionuid=131946916342,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,in stock,100,,,7112,1457
,cornișe,curtina_x403,Hxf-n56DhLa95Jq8oTmSb3,Profil CURTINA X403,"Profil patentat CURTINA X403 pentru realizarea nișelor ascunse de draperii, cu trei șanțuri pentru agățarea perdelelor și draperiilor în tavane extensibile cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 2200 m,negru mat,148.43 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403?editionuid=265935541592,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,in stock,100,,,7112,1457
,cornișe,curtina_x403,smfA9ADrg9P4AffHsiprN2,Profil CURTINA X403,"Profil patentat CURTINA X403 pentru realizarea nișelor ascunse de draperii, cu trei șanțuri pentru agățarea perdelelor și draperiilor în tavane extensibile cu sistem harpon. Cu prindere laterală a pânzei.",,alumineu,lungime 2200 m,alb lucios,148.43 RON,https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x403?editionuid=701472319152,"https://drive.google.com/uc?id=16binchgKBfvxs4TWxiIM0VByGN-ggVQM, https://drive.google.com/uc?id=1DuwVPqqnHj0m3om9AszdxPPMGcRhLo88, https://drive.google.com/uc?id=1ttlBOvfwWEh65Lp_9hpUMCIUExIzcRDR",new,in stock,100,,,7112,1457
