"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url;Tabs:1;Tabs:2;Tabs:3
511068471861;Alumineu;;;Harpunenprofile>>>Led-schattenfugen;"Profil FLOATIA X301";"Profil Alumineu FLOATIA X301, Wandabstandprofil für Spann-Decken mit Harpunen-Befestigungssystem für die Bahn. Mit einer Ablage für LED-Bänder. Ohne Abdeckung und Schirm.";;https://static.tildacdn.com/stor3839-6236-4339-a530-353930653661/0b8b843c554eac76103a8ccb146af81a.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;floatia_x301;;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/led-schattenfugen/floatia-x301;info|#|Описание|#|Тру-ля-ля;chars|#|Характеристики;info|#|Информация|#|Опа-опа
737801824421;;;;;"Profil FLOATIA X301 - weiß matt";;;https://static.tildacdn.com/stor3839-6236-4339-a530-353930653661/0b8b843c554eac76103a8ccb146af81a.png;3.11;;;"Farbe:weiß matt #ffffff";;jzysdA0nhEDukcRfamitz0;511068471861;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/led-schattenfugen/floatia-x301?editionuid=737801824421;;;
296614829931;Alumineu;;;Harpunenprofile>>>Schattenfugen;"Profil INVISIA X202";"Profil Alumineu INVISIA X202, Wandabstandprofil für Spann-Decken mit Harpunen-Befestigungssystem für die Bahn.";;https://static.tildacdn.com/stor6465-3262-4965-a531-623864343033/0454bbb9b9d170e764218270c8e21207.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;invisia_x202;;0;0;0;0;"Schattenfugenprofil INVISIA X202 mit Schattenfuge in der Decke – Alumineu Profile";"Aluminiumprofil zur Wandabstandsbildung INVISIA X202. Kaufen Sie Alumineu-Zubehör für Spanndecken in Deutschland.";"Schattenfuge an der Wand, Schattenprofil";;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x202;;;
763141907871;;;;;"Profil INVISIA X202 - schwarz matt";;;https://static.tildacdn.com/stor6465-3262-4965-a531-623864343033/0454bbb9b9d170e764218270c8e21207.png;2.59;;;"Farbe:schwarz matt #000000";;DJNjCqquhcS8YMhhFUUT-3;296614829931;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x202?editionuid=763141907871;;;
834487288081;Alumineu;;;Harpunenprofile>>>Schattenfugen;"Profil INVISIA X205";;;https://static.tildacdn.com/stor3933-3636-4732-b535-393336616263/0cc3d7c519a57e48dbc109d6f54c66b2.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;invisia_x205;;0;0;0;0;"Distanzprofil mit Schattenfuge 7,7 mm INVISIA X205 - alumineu profile";"Robustes Profil für Spanndecken mit 7,7 mm Abstand zur Wand INVISIA X205. Bestellen mit Lieferung";"Lieferung von Profilen in Polen, Distanzprofil, Spanndecken";;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x205;;;
463017471261;;;;;"Profil INVISIA X205 - schwarz matt";;;https://static.tildacdn.com/stor3933-3636-4732-b535-393336616263/0cc3d7c519a57e48dbc109d6f54c66b2.png;3.11;;;"Farbe:schwarz matt #000000";;lFPD6yXiiis-LJnoPBaa91;834487288081;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x205?editionuid=463017471261;;;
688784940211;Alumineu;;;Harpunenprofile>>>Schattenfugen;"Profil INVISIA X204";"Profil Alumineu INVISIA X204, Trennprofil mit Schattenfuge für Spann-Decken mit Harpunen-Befestigungssystem für die Bahn.";;https://static.tildacdn.com/stor3934-3366-4234-a361-373462636666/8ae3e674bd953dc0eb5afa52261606e7.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;invisia_x204;;0;0;0;0;"Trennprofil INVISIA X204 mit Schattenfuge in der Spanndecke – Profile von alumineu";"Trennprofil für die Decke zur Befestigung der Folie von beiden Seiten INVISIA X204. Verfügbar in Deutschland.";"Trennprofil für die Decke, teilendes Deckenprofil";;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x204;;;
439163409561;;;;;"Profil INVISIA X204 - schwarz matt";;;https://static.tildacdn.com/stor3934-3366-4234-a361-373462636666/8ae3e674bd953dc0eb5afa52261606e7.png;4.15;;;"Farbe:schwarz matt #000000";;zA59TVMAiMOOTZf15BUvl2;688784940211;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/schattenfugen/invisia-x204?editionuid=439163409561;;;
516248023571;Alumineu;;;Zubehör>>>Abdeckleiste;"Abdeckleiste INSERTA Y015 f";;;https://static.tildacdn.com/stor3035-6636-4464-b530-313132653062/6d18f969a1877685112bda7de5a29d70.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;inserta_y015_f;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y015-f;;;
389788504061;;;;;"Abdeckleiste INSERTA Y015 f - milchig";;;https://static.tildacdn.com/stor3035-6636-4464-b530-313132653062/6d18f969a1877685112bda7de5a29d70.png;1.56;;;"Farbe:milchig #ffffff";;CWpGaKdlgRQIwS9TWZI6n0;516248023571;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y015-f?editionuid=389788504061;;;
820320102421;Alumineu;;;Zubehör>>>Abdeckleiste;"Abdeckleiste INSERTA Y030";;;https://static.tildacdn.com/stor6530-3639-4661-a261-666164393537/2521f34088c461c511b11b22e98dab83.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;inserta_y030;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y030;;;
740165393261;;;;;"Abdeckleiste INSERTA Y030 - milchig";;;https://static.tildacdn.com/stor6530-3639-4661-a261-666164393537/2521f34088c461c511b11b22e98dab83.png;1.56;;;"Farbe:milchig #ffffff";;MP9kMK6mg9LT--ZPdvSbb1;820320102421;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y030?editionuid=740165393261;;;
972999912221;Alumineu;;;Harpunenprofile>>>Wandabschluss;"Profil CLASSIX X140";"Profil Alumineu CLASSIX X140, Wandprofil für Spann-Decken mit Harpunen-Befestigungssystem für die Bahn. Ohne Wandabdeckleiste.";;https://static.tildacdn.com/stor6538-6435-4861-a561-393162643763/af3a0c079bf3bf03ceb59edcbfb4e82d.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;classix_x140;;0;0;0;0;"Wandprofil CLASSIX X140 zur Befestigung der Folie mit Harpunensystem - alumineu";"Wandprofil CLASSIX X140 für Spanndecken mit Harpunensystem. Jetzt mit Lieferung in ganz Deutschland bestellen.";"Profile zur Befestigung der Folie mit Harpunensystem";;;https://alumineu.de/produkte/harpunenprofile/wandabschluss/classix-x101;;;
280241505021;;;;;"Profil CLASSIX X140 - roh";;;https://static.tildacdn.com/stor6538-6435-4861-a561-393162643763/af3a0c079bf3bf03ceb59edcbfb4e82d.png;1.01;16;;"Farbe:roh #e6e6e6";;V3cnnvOSiRXwOxWDjbAgp3;972999912221;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/wandabschluss/classix-x101?editionuid=280241505021;;;
601597243121;Alumineu;;;Harpunenprofile>>>Konturlicht;"Profil CONTURA X601";"Patentiertes Wandkonturprofil CONTURA X601 für Spanndecken mit Harpunen-Befestigungssystem. Mit LED-Bandablage zur Beleuchtung nach unten durch das Gewebe. Der Profilumfang ist mit einer Wandeinlage geschlossen.";;https://static.tildacdn.com/stor6236-3463-4338-b361-666561323738/1fdfeef18495e600387340cde1dbd5ae.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;contura_x601;;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/konturlicht/contura-x601;;;
298004226671;;;;;"Profil CONTURA X601 - surowe aluminium";;;https://static.tildacdn.com/stor6236-3463-4338-b361-666561323738/1fdfeef18495e600387340cde1dbd5ae.png;2.08;;;"Farbe:surowe aluminium #e6e6e6";;uOmKNKiKhPZzh4UNscvrM3;601597243121;0;0;0;0;;;;;;https://alumineu.de/produkte/harpunenprofile/konturlicht/contura-x601?editionuid=298004226671;;;
903601380751;Alumineu;;;Zubehör>>>Winkel;"Winkel ANGLOVA Y401";;;https://static.tildacdn.com/stor3132-3035-4665-a363-323230383332/a3eadee3e8e49ca02751fc14bbaa2b3e.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;anglova_y401;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/winkel/anglova-y401;;;
834435705461;;;;;"Winkel ANGLOVA Y401 - roh";;;https://static.tildacdn.com/stor3132-3035-4665-a363-323230383332/a3eadee3e8e49ca02751fc14bbaa2b3e.png;0.42;;;"Farbe:roh #e6e6e6";;5Iae0Kl7jHu3J80n7k6Nu3;903601380751;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/winkel/anglova-y401?editionuid=834435705461;;;
989701060781;Alumineu;;;Zubehör>>>Abdeckleiste;"Abdeckleiste INSERTA Y008";;;https://static.tildacdn.com/stor3137-3732-4462-b636-653939633062/f98ee36383edb079aab9a680dc8586d4.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;inserta_y008;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y008;;;
631676915201;;;;;"Abdeckleiste INSERTA Y008 - weiß";;;https://static.tildacdn.com/stor3137-3732-4462-b636-653939633062/f98ee36383edb079aab9a680dc8586d4.png;0.52;;;"Farbe:weiß #ffffff";;5A33vrjxg2INi6FdYvYHV1;989701060781;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y008?editionuid=631676915201;;;
664407343641;;;;;"Abdeckleiste INSERTA Y008 - schwarz";;;https://static.tildacdn.com/stor3137-3732-4462-b636-653939633062/f98ee36383edb079aab9a680dc8586d4.png;0.52;;;"Farbe:schwarz #000000";;Zm1YLzGFjDyJzl5BQ2AZK2;989701060781;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y008?editionuid=664407343641;;;
128574877981;Alumineu;;;Zubehör>>>Abdeckleiste;"Abdeckleiste INSERTA Y015";;;https://static.tildacdn.com/stor3164-6163-4138-b365-633634633831/2c67053a676061e108f082ef311adba7.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;inserta_y015;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y015;;;
210738963631;;;;;"Abdeckleiste INSERTA Y015 - milchig";;;https://static.tildacdn.com/stor3164-6163-4138-b365-633634633831/2c67053a676061e108f082ef311adba7.png;0.83;;;"Farbe:milchig #ffffff";;jWf3YVZMj28oz3Vn9Ruwa1;128574877981;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckleiste/inserta-y015?editionuid=210738963631;;;
306408440381;Alumineu;;;Zubehör>>>Abdeckungen;"Abdeckung DIFFUSY Y114";;;https://static.tildacdn.com/stor6163-3630-4136-a361-633337366432/fb584a4bfb07f5cc1c37f073323066e7.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;diffusy_y114;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckungen/diffusy-y114;;;
267066387041;;;;;"Abdeckung DIFFUSY Y114 - milchig";;;https://static.tildacdn.com/stor6163-3630-4136-a361-633337366432/fb584a4bfb07f5cc1c37f073323066e7.png;1.56;;;"Farbe:milchig #ffffff";;SVjKGGnNhIO8Ovbe-z0yF3;306408440381;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckungen/diffusy-y114?editionuid=267066387041;;;
736492946461;Alumineu;;;Zubehör>>>Abdeckungen;"Abdeckung DIFFUSY Y130";;;https://static.tildacdn.com/stor6131-6461-4237-b532-363835336235/e08f5541541dd6c080e4dcadf8da43eb.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;diffusy_y130;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckungen/diffusy-y130;;;
323571157641;;;;;"Abdeckung DIFFUSY Y130 - milchig";;;https://static.tildacdn.com/stor6131-6461-4237-b532-363835336235/e08f5541541dd6c080e4dcadf8da43eb.png;2.08;;;"Farbe:milchig #ffffff";;5ET97eXngrRKDRbIJ4YhN2;736492946461;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckungen/diffusy-y130?editionuid=323571157641;;;
471254601322;;;;;"Abdeckung DIFFUSY Y130 - schwarz";;;https://static.tildacdn.com/stor6131-6461-4237-b532-363835336235/e08f5541541dd6c080e4dcadf8da43eb.png;2.59;;;"Farbe:schwarz #000000";;yfcIPkXYi7hGeHi9sRjg51;736492946461;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckungen/diffusy-y130?editionuid=471254601322;;;
520194301621;Alumineu;;;Zubehör>>>Abdeckungen;"Abdeckung DIFFUSY Y150";;;https://static.tildacdn.com/stor3733-3736-4266-a666-303132346265/36a5602c3ffd3801a376135c0c022165.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;diffusy_y150;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckungen/diffusy-y150;;;
746109330421;;;;;"Abdeckung DIFFUSY Y150 - milchig";;;https://static.tildacdn.com/stor3733-3736-4266-a666-303132346265/36a5602c3ffd3801a376135c0c022165.png;3.11;;;"Farbe:milchig #ffffff";;Z0jQpgcsgfNvDPq3zycpi1;520194301621;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/abdeckungen/diffusy-y150?editionuid=746109330421;;;
454560769811;Alumineu;;;Zubehör>>>Endkappen;"Endkappe ENDCAPP Y205";;;https://static.tildacdn.com/stor3338-3731-4633-b531-323662363031/803cb870f4b14c2f4e88d77298336750.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;endcapp_y205;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y205;;;
161270122041;;;;;"Endkappe ENDCAPP Y205 - weiß matt";;;https://static.tildacdn.com/stor3338-3731-4633-b531-323662363031/803cb870f4b14c2f4e88d77298336750.png;5.19;;;"Farbe:weiß matt #ffffff";;0tjwIdlUikOX0Ujz8iz0g0;454560769811;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y205?editionuid=161270122041;;;
607025546201;;;;;"Endkappe ENDCAPP Y205 - schwarz matt";;;https://static.tildacdn.com/stor3338-3731-4633-b531-323662363031/803cb870f4b14c2f4e88d77298336750.png;5.19;;;"Farbe:schwarz matt #000000";;s3hlPBkThtLs9b-VgS5-72;454560769811;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y205?editionuid=607025546201;;;
611157772331;Alumineu;;;Zubehör>>>Endkappen;"Endkappe ENDCAPP Y201";;;https://static.tildacdn.com/stor6434-3863-4666-a639-326262306236/0b3a546011c48cfa4e7b5e5fe7d0e6cd.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;endcapp_y201;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y201;;;
231605950141;;;;;"Endkappe ENDCAPP Y201 - schwarz";;;https://static.tildacdn.com/stor6434-3863-4666-a639-326262306236/0b3a546011c48cfa4e7b5e5fe7d0e6cd.png;1.04;;;"Farbe:schwarz #000000";;h5ANH4hyhaQ0ahlbaV9nf3;611157772331;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y201?editionuid=231605950141;;;
884939976731;Alumineu;;;Zubehör>>>Endkappen;"Endkappe ENDCAPP Y206";;;https://static.tildacdn.com/stor3737-3938-4733-a135-343534336166/430962fcedd210579d574eb1bf5000c6.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;endcapp_y206;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y206;;;
104238911941;;;;;"Endkappe ENDCAPP Y206 - weiß matt";;;;2.08;;;"Farbe:weiß matt #ffffff";;tPFY8g6HhI3goBhXwFAdR2;884939976731;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y206?editionuid=104238911941;;;
834123095482;;;;;"Endkappe ENDCAPP Y206 - schwarz matt";;;;2.08;;;"Farbe:schwarz matt #000000";;qbmrWdNBhQrZ9Ppq1rO-N2;884939976731;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y206?editionuid=834123095482;;;
458051350651;Alumineu;;;Zubehör>>>Endkappen;"Endkappe ENDCAPP Y202";;;https://static.tildacdn.com/stor3163-3532-4638-b738-396136656331/7e4f4a55892ac094157d75308a2b3c92.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;endcapp_y202;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y202;;;
447817890291;;;;;"Endkappe ENDCAPP Y202 - schwarz";;;https://static.tildacdn.com/stor3163-3532-4638-b738-396136656331/7e4f4a55892ac094157d75308a2b3c92.png;1.04;;;"Farbe:schwarz #000000";;9wJD0JkkglPzVeK5rRpif0;458051350651;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y202?editionuid=447817890291;;;
135189710841;Alumineu;;;Zubehör>>>Endkappen;"Endkappe ENDCAPP Y207";;;https://static.tildacdn.com/stor6539-3534-4766-b966-333335613231/d0df5d5603e2882ad733d9d398e803be.png;;;;"product_options:[{""title"":""Farbe"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}}]";;endcapp_y207;;0;0;0;0;;;;;;https://alumineu.de/produkte/zubehor/endkappen/endcapp-y207;;;
